trip_id,start_time,end_time,headway_secs,exact_times
00000000000000000033,0000000000000000000k,0000000000000000000k,192,0
00000000000000000037,0000000000000000000c,0000000000000000000c,190,0
0000000000000000001b,0000000000000000000a,0000000000000000000a,186,0
00000000000000000030,00000000000000000006,00000000000000000006,185,0
00000000000000000021,00000000000000000005,00000000000000000005,183,0
0000000000000000000c,00000000000000000003,00000000000000000003,199,0
00000000000000000014,0000000000000000000l,0000000000000000000l,196,0
0000000000000000000v,0000000000000000000j,0000000000000000000j,191,0
0000000000000000001a,0000000000000000000g,0000000000000000000m,188,0
0000000000000000001p,0000000000000000000b,0000000000000000000g,197,0
0000000000000000000g,00000000000000000008,0000000000000000000b,198,0
0000000000000000000t,0000000000000000000h,00000000000000000008,193,0
0000000000000000002q,0000000000000000000i,0000000000000000000h,195,0
0000000000000000002d,0000000000000000000d,0000000000000000000i,184,0
0000000000000000003f,0000000000000000000f,0000000000000000000d,189,0
0000000000000000002x,00000000000000000004,0000000000000000000f,182,0
0000000000000000000j,00000000000000000009,00000000000000000004,194,0
0000000000000000002r,00000000000000000002,00000000000000000009,181,0
0000000000000000002j,0000000000000000000e,00000000000000000002,187,0
0000000000000000000b,00000000000000000001,0000000000000000000e,192,0
0000000000000000000y,00000000000000000007,00000000000000000001,190,0
00000000000000000016,0000000000000000000k,00000000000000000007,186,0
0000000000000000002b,0000000000000000000c,0000000000000000000k,185,0
00000000000000000019,0000000000000000000a,0000000000000000000c,183,0
00000000000000000013,00000000000000000006,0000000000000000000a,199,0
00000000000000000005,00000000000000000005,00000000000000000006,196,0
0000000000000000003m,00000000000000000003,00000000000000000005,191,0
0000000000000000002p,0000000000000000000l,00000000000000000003,188,0
0000000000000000001k,0000000000000000000j,0000000000000000000l,197,0
0000000000000000000i,0000000000000000000g,0000000000000000000j,198,0
0000000000000000001o,0000000000000000000b,0000000000000000000m,193,0
00000000000000000002,00000000000000000008,0000000000000000000g,195,0
0000000000000000001g,0000000000000000000h,0000000000000000000b,184,0
0000000000000000001x,0000000000000000000i,00000000000000000008,189,0
0000000000000000002m,0000000000000000000d,0000000000000000000h,182,0
0000000000000000000o,0000000000000000000f,0000000000000000000i,194,0
00000000000000000028,00000000000000000004,0000000000000000000d,181,0
0000000000000000001q,00000000000000000009,0000000000000000000f,187,0
0000000000000000003d,00000000000000000002,00000000000000000004,192,0
0000000000000000003b,0000000000000000000e,00000000000000000009,190,0
0000000000000000001v,00000000000000000001,00000000000000000002,186,0
0000000000000000002h,00000000000000000007,0000000000000000000e,185,0
0000000000000000002k,0000000000000000000k,00000000000000000001,183,0
0000000000000000003e,0000000000000000000c,00000000000000000007,199,0
0000000000000000000w,0000000000000000000a,0000000000000000000k,196,0
0000000000000000001n,00000000000000000006,0000000000000000000c,191,0
0000000000000000002n,00000000000000000005,0000000000000000000a,188,0
0000000000000000001j,00000000000000000003,00000000000000000006,197,0
0000000000000000001m,0000000000000000000l,00000000000000000005,198,0
0000000000000000001f,0000000000000000000j,00000000000000000003,193,0
0000000000000000001r,0000000000000000000g,0000000000000000000l,195,0
00000000000000000012,0000000000000000000b,0000000000000000000j,184,0
0000000000000000002v,00000000000000000008,0000000000000000000m,189,0
00000000000000000007,0000000000000000000h,0000000000000000000g,182,0
0000000000000000000m,0000000000000000000i,0000000000000000000b,194,0
0000000000000000001w,0000000000000000000d,00000000000000000008,181,0
0000000000000000000p,0000000000000000000f,0000000000000000000h,187,0
0000000000000000002c,00000000000000000004,0000000000000000000i,192,0
00000000000000000017,00000000000000000009,0000000000000000000d,190,0
00000000000000000031,00000000000000000002,0000000000000000000f,186,0
0000000000000000000r,0000000000000000000e,00000000000000000004,185,0
0000000000000000002i,00000000000000000001,00000000000000000009,183,0
00000000000000000003,00000000000000000007,00000000000000000002,199,0
00000000000000000026,0000000000000000000k,0000000000000000000e,196,0
0000000000000000000a,0000000000000000000c,00000000000000000001,191,0
0000000000000000002t,0000000000000000000a,00000000000000000007,188,0
00000000000000000034,00000000000000000006,0000000000000000000k,197,0
00000000000000000011,00000000000000000005,0000000000000000000c,198,0
0000000000000000001z,00000000000000000003,0000000000000000000a,193,0
00000000000000000027,0000000000000000000l,00000000000000000006,195,0
