shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0000000000000000000o,39248,39208,1008430,8429
0000000000000000000k,8469,8429,1010130,21148
0000000000000000000c,39798,39758,1001667,17663
0000000000000000000r,21188,21148,1003161,10129
0000000000000000000a,17703,17663,1013407,24488
00000000000000000006,45951,45911,1006681,25919
00000000000000000005,10169,10129,1001584,1666
00000000000000000003,51186,51146,1004032,3160
0000000000000000000l,24528,24488,1008168,18569
0000000000000000000j,25959,25919,1002131,34842
0000000000000000000w,1706,1666,1015446,31512
0000000000000000000m,3200,3160,1010536,25676
0000000000000000000n,56730,56690,1005815,13406
0000000000000000000g,18609,18569,1006947,6680
0000000000000000000b,42334,42294,1004737,16512
0000000000000000000q,34882,34842,1011235,1583
0000000000000000000u,31552,31512,1005273,4031
00000000000000000008,25716,25676,1015284,33727
0000000000000000000h,13446,13406,1006763,28775
0000000000000000000i,44196,44156,1003287,28547
0000000000000000000p,6720,6680,1008195,8167
0000000000000000000d,16552,16512,1003926,2130
0000000000000000000v,1623,1583,1001583,15445
0000000000000000000f,4071,4031,1003411,10535
00000000000000000004,42748,42708,1012518,21062
0000000000000000000s,35067,35027,1010546,26273
00000000000000000009,45072,45032,1002629,5814
00000000000000000002,33767,33727,1001576,6946
0000000000000000000e,28815,28775,1007102,30599
0000000000000000000t,28587,28547,1007657,4736
00000000000000000001,8207,8167,1013090,11234
00000000000000000007,37240,37200,1004232,18547
0000000000000000000o,2170,2130,1011053,27974
0000000000000000000k,15485,15445,1013818,20190
0000000000000000000c,37619,37579,1005621,5272
0000000000000000000r,10575,10535,1012081,15283
0000000000000000000a,49435,49395,1006167,6762
00000000000000000006,53273,53233,1006792,16543
00000000000000000005,43930,43890,1011761,3286
00000000000000000003,21102,21062,1010650,33624
0000000000000000000l,38006,37966,1013468,8194
0000000000000000000j,37753,37713,1009939,26281
0000000000000000000w,26313,26273,1004925,15904
0000000000000000000m,57917,57877,1003152,27703
0000000000000000000n,5854,5814,1015523,3925
0000000000000000000g,6986,6946,1003139,1582
0000000000000000000b,48515,48475,1005164,3410
0000000000000000000q,30639,30599,1009165,25196
0000000000000000000u,4776,4736,1002650,34279
00000000000000000008,46119,46079,1001301,12517
0000000000000000000h,50825,50785,1014592,29024
0000000000000000000i,11274,11234,1013103,23598
0000000000000000000p,18587,18547,1013685,10545
0000000000000000000d,53965,53925,1011430,2628
0000000000000000000v,49500,49460,1007878,1575
0000000000000000000f,28014,27974,1006178,16972
00000000000000000004,20230,20190,1001079,7101
0000000000000000000s,48743,48703,1014558,18391
00000000000000000009,56969,56929,1012579,18214
00000000000000000002,5312,5272,1006379,7656
0000000000000000000e,40187,40147,1009988,13089
0000000000000000000t,15323,15283,1011575,21201
00000000000000000001,6802,6762,1000825,30489
00000000000000000007,36396,36356,1006424,4231
0000000000000000000o,16583,16543,1015611,23872
0000000000000000000k,3326,3286,1000904,11052
0000000000000000000c,35572,35532,1003763,29912
0000000000000000000r,33664,33624,1010378,13817
0000000000000000000a,36805,36765,1011160,20685
00000000000000000006,40910,40870,1000398,5620
00000000000000000005,38918,38878,1008948,19807
00000000000000000003,8234,8194,1012002,33258
0000000000000000000l,26321,26281,1004156,12080
0000000000000000000j,15944,15904,1005481,23273
0000000000000000000w,48694,48654,1004354,31898
0000000000000000000m,45367,45327,1005256,19085
0000000000000000000n,50836,50796,1009890,18432
0000000000000000000g,27743,27703,1000260,19266
0000000000000000000b,3965,3925,1005303,25146
0000000000000000000q,49863,49823,1012821,6166
0000000000000000000u,56846,56806,1002348,24677
00000000000000000008,46681,46641,1009228,6791
0000000000000000000h,1622,1582,1008090,11760
0000000000000000000i,45510,45470,1009986,22067
0000000000000000000p,3450,3410,1007584,10649
0000000000000000000d,25236,25196,1005346,29328
0000000000000000000v,34319,34279,1015191,13467
0000000000000000000f,55174,55134,1000136,9938
00000000000000000004,42069,42029,1005904,4924
0000000000000000000s,12557,12517,1004504,3151
00000000000000000009,29064,29024,1005782,29629
00000000000000000002,23638,23598,1006741,21328
0000000000000000000e,10585,10545,1009520,15522
0000000000000000000t,51855,51815,1003530,3138
00000000000000000001,38895,38855,1009757,33187
00000000000000000007,2668,2628,1001774,31014
0000000000000000000o,35998,35958,1013700,5163
0000000000000000000k,1615,1575,1015060,24832
0000000000000000000c,35574,35534,1015561,9164
0000000000000000000r,50789,50749,1002513,17622
0000000000000000000a,17012,16972,1007887,2649
00000000000000000006,7141,7101,1008356,31383
00000000000000000005,18431,18391,1012012,27752
00000000000000000003,50530,50490,1006576,15783
0000000000000000000l,18254,18214,1013162,19372
0000000000000000000j,7696,7656,1001009,1300
0000000000000000000w,52738,52698,1003771,14591
0000000000000000000m,52575,52535,1012314,30917
0000000000000000000n,13129,13089,1009727,13102
0000000000000000000g,21241,21201,1014637,33446
0000000000000000000b,30529,30489,1011700,13684
0000000000000000000q,4271,4231,1012844,11429
0000000000000000000u,23912,23872,1007914,7877
00000000000000000008,45339,45299,1014890,6177
0000000000000000000h,11092,11052,1003031,32152
0000000000000000000i,29952,29912,1006158,27278
0000000000000000000p,38528,38488,1004331,1078
0000000000000000000d,13857,13817,1013565,30099
0000000000000000000v,43655,43615,1001359,19365
0000000000000000000f,54555,54515,1012620,14557
00000000000000000004,20725,20685,1014018,22689
0000000000000000000s,5660,5620,1004803,18735
00000000000000000009,19847,19807,1012190,33735
00000000000000000002,42391,42351,1015183,12578
0000000000000000000e,48676,48636,1006266,6378
0000000000000000000t,33298,33258,1006102,9987
00000000000000000001,48236,48196,1000833,16782
00000000000000000007,40587,40547,1001339,11574
0000000000000000000o,12120,12080,1012719,824
0000000000000000000k,23313,23273,1007264,6423
0000000000000000000c,31938,31898,1015386,25430
0000000000000000000r,19125,19085,1015143,29530
0000000000000000000a,18472,18432,1013411,15610
00000000000000000006,19306,19266,1001303,903
00000000000000000005,54691,54651,1015076,18520
00000000000000000003,25186,25146,1002821,3762
0000000000000000000l,6206,6166,1004832,10377
0000000000000000000j,39501,39461,1014198,11159
0000000000000000000w,49317,49277,1008167,397
0000000000000000000m,24717,24677,1010934,8947
0000000000000000000n,40515,40475,1004149,12001
0000000000000000000g,6831,6791,1003787,4155
0000000000000000000b,43414,43374,1011238,5480
0000000000000000000q,53582,53542,1013833,26121
0000000000000000000u,56817,56777,1008788,21093
00000000000000000008,39663,39623,1010362,4353
0000000000000000000h,11800,11760,1007288,21445
0000000000000000000i,45876,45836,1000126,5255
0000000000000000000p,22107,22067,1007856,31860
0000000000000000000d,40095,40055,1000854,9889
0000000000000000000v,10689,10649,1006421,22023
0000000000000000000f,29368,29328,1007810,29407
00000000000000000004,13507,13467,1012558,16281
0000000000000000000s,57770,57730,1008245,26299
00000000000000000009,9978,9938,1009405,28433
00000000000000000002,4964,4924,1000972,259
0000000000000000000e,37456,37416,1003861,5302
0000000000000000000t,54442,54402,1015750,23333
00000000000000000001,3191,3151,1011145,32820
00000000000000000007,29669,29629,1006388,12820
0000000000000000000o,40743,40703,1013985,2347
0000000000000000000k,49872,49832,1010198,31482
0000000000000000000c,35390,35350,1000165,18416
0000000000000000000r,54485,54445,1004209,9227
0000000000000000000a,21368,21328,1010319,32868
00000000000000000006,15562,15522,1013918,23808
00000000000000000005,56253,56213,1010739,26743
00000000000000000003,3178,3138,1010757,30069
0000000000000000000l,33227,33187,1002875,8089
0000000000000000000j,31054,31014,1007888,9985
0000000000000000000w,5203,5163,1008598,16298
0000000000000000000m,49450,49410,1003903,31024
0000000000000000000n,56903,56863,1009874,7583
0000000000000000000g,24872,24832,1000618,5345
0000000000000000000b,9204,9164,1000538,15190
0000000000000000000q,17662,17622,1008644,34512
0000000000000000000u,2689,2649,1011198,135
00000000000000000008,41080,41040,1009594,32670
0000000000000000000h,31423,31383,1011062,5903
0000000000000000000i,48090,48050,1011012,28484
0000000000000000000p,27792,27752,1006338,32900
0000000000000000000d,15823,15783,1008936,4503
0000000000000000000v,19412,19372,1012972,5781
0000000000000000000f,1340,1300,1010857,24904
00000000000000000004,14631,14591,1014172,26588
0000000000000000000s,30957,30917,1002480,34104
00000000000000000009,57413,57373,1009956,6740
00000000000000000002,13142,13102,1009039,31032
0000000000000000000e,48940,48900,1003932,9519
0000000000000000000t,33486,33446,1008179,3529
00000000000000000001,13724,13684,1006726,9756
00000000000000000007,11469,11429,1015483,33245
0000000000000000000o,7917,7877,1000047,1773
0000000000000000000k,6217,6177,1011133,29054
0000000000000000000c,39017,38977,1014892,30858
0000000000000000000r,32192,32152,1003515,13699
0000000000000000000a,27318,27278,1012475,15059
00000000000000000006,1118,1078,1005422,15560
00000000000000000005,30139,30099,1011844,28504
00000000000000000003,19405,19365,1007663,15922
0000000000000000000l,57880,57840,1003908,28036
0000000000000000000j,40184,40144,1002685,2512
0000000000000000000w,14597,14557,1007272,7886
0000000000000000000m,22729,22689,1006071,8355
